deviceIORate,cpu,memory,conns,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,1,800m,25,3,180,450,73581.2
50mb,1,800m,25,3,180,500,72672.7
50mb,1,800m,25,3,200,350,82176.5
50mb,1,800m,25,3,200,400,83592.4
50mb,1,800m,25,3,200,450,83410.5
50mb,1,800m,25,3,200,500,83202.7
50mb,1,800m,25,4,0,350,15.1
50mb,1,800m,25,4,0,400,14.8
50mb,1,800m,25,4,0,450,14.8
50mb,1,800m,25,4,0,500,14.6
50mb,1,800m,25,4,20,350,733.8
50mb,1,800m,25,4,20,400,724.1
50mb,1,800m,25,4,20,450,769.8
50mb,1,800m,25,4,20,500,759.4
50mb,1,800m,25,4,40,350,6771.2
50mb,1,800m,25,4,40,400,6598.0
50mb,1,800m,25,4,40,450,6718.8
50mb,1,800m,25,4,40,500,6703.7
50mb,1,800m,25,4,60,350,15800.0
50mb,1,800m,25,4,60,400,15814.6
50mb,1,800m,25,4,60,450,15826.7
50mb,1,800m,25,4,60,500,15735.6
50mb,1,800m,25,4,80,350,25125.7
50mb,1,800m,25,4,80,400,25213.1
50mb,1,800m,25,4,80,450,25720.2
50mb,1,800m,25,4,80,500,25746.1
50mb,1,800m,25,4,100,350,35553.4
50mb,1,800m,25,4,100,400,35498.9
50mb,1,800m,25,4,100,450,34964.9
50mb,1,800m,25,4,100,500,35270.6
50mb,1,800m,25,4,120,350,45300.6
50mb,1,800m,25,4,120,400,45310.2
50mb,1,800m,25,4,120,450,45189.6
50mb,1,800m,25,4,120,500,45175.1
50mb,1,800m,25,4,140,350,55123.2
50mb,1,800m,25,4,140,400,56091.2
50mb,1,800m,25,4,140,450,55566.3
50mb,1,800m,25,4,140,500,54900.3
50mb,1,800m,25,4,160,350,64244.0
50mb,1,800m,25,4,160,400,65398.8
50mb,1,800m,25,4,160,450,65490.7
50mb,1,800m,25,4,160,500,65384.6
50mb,1,800m,25,4,180,350,74672.5
50mb,1,800m,25,4,180,400,74597.2
50mb,1,800m,25,4,180,450,75041.3
50mb,1,800m,25,4,180,500,75118.0
50mb,1,800m,25,4,200,350,86161.7
50mb,1,800m,25,4,200,400,85467.9
50mb,1,800m,25,4,200,450,85008.4
50mb,1,800m,25,4,200,500,84236.0
50mb,1,800m,25,5,0,350,15.5
50mb,1,800m,25,5,0,400,14.4
50mb,1,800m,25,5,0,450,14.6
50mb,1,800m,25,5,0,500,15.6
50mb,1,800m,25,5,20,350,1077.1
50mb,1,800m,25,5,20,400,1104.4
50mb,1,800m,25,5,20,450,1084.1
50mb,1,800m,25,5,20,500,1050.7
50mb,1,800m,25,5,40,350,8134.9
50mb,1,800m,25,5,40,400,7708.4
50mb,1,800m,25,5,40,450,7619.4
50mb,1,800m,25,5,40,500,7554.6
50mb,1,800m,25,5,60,350,16773.3
50mb,1,800m,25,5,60,400,16663.6
50mb,1,800m,25,5,60,450,16342.9
50mb,1,800m,25,5,60,500,16965.9
50mb,1,800m,25,5,80,350,26620.5
50mb,1,800m,25,5,80,400,26299.1
50mb,1,800m,25,5,80,450,26430.6
50mb,1,800m,25,5,80,500,26592.1
50mb,1,800m,25,5,100,350,36184.2
50mb,1,800m,25,5,100,400,36561.2
50mb,1,800m,25,5,100,450,36545.9
50mb,1,800m,25,5,100,500,36193.4
50mb,1,800m,25,5,120,350,45665.1
50mb,1,800m,25,5,120,400,45997.3
50mb,1,800m,25,5,120,450,46018.4
50mb,1,800m,25,5,120,500,45989.3
50mb,1,800m,25,5,140,350,55515.6
50mb,1,800m,25,5,140,400,55079.4
