deviceIORate,cpu,memory,conns,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,1,800m,25,8,100,400,36820.9
50mb,1,800m,25,8,100,450,36622.6
50mb,1,800m,25,8,100,500,37068.8
50mb,1,800m,25,8,120,350,46819.3
50mb,1,800m,25,8,120,400,47849.1
50mb,1,800m,25,8,120,450,46510.0
50mb,1,800m,25,8,120,500,47453.4
50mb,1,800m,25,8,140,350,57005.1
50mb,1,800m,25,8,140,400,56845.8
50mb,1,800m,25,8,140,450,57269.5
50mb,1,800m,25,8,140,500,56786.2
50mb,1,800m,25,8,160,350,67276.3
50mb,1,800m,25,8,160,400,67716.1
50mb,1,800m,25,8,160,450,66755.4
50mb,1,800m,25,8,160,500,66720.2
50mb,1,800m,25,8,180,350,76775.1
50mb,1,800m,25,8,180,400,76417.8
50mb,1,800m,25,8,180,450,76809.2
50mb,1,800m,25,8,180,500,76577.7
50mb,1,800m,25,8,200,350,86250.2
50mb,1,800m,25,8,200,400,87012.0
50mb,1,800m,25,8,200,450,86780.5
50mb,1,800m,25,8,200,500,85682.1
50mb,1,800m,25,9,0,350,14.8
50mb,1,800m,25,9,0,400,14.8
50mb,1,800m,25,9,0,450,12.7
50mb,1,800m,25,9,0,500,14.3
50mb,1,800m,25,9,20,350,1679.9
50mb,1,800m,25,9,20,400,1593.5
50mb,1,800m,25,9,20,450,1879.5
50mb,1,800m,25,9,20,500,1591.0
50mb,1,800m,25,9,40,350,8830.9
50mb,1,800m,25,9,40,400,9089.5
50mb,1,800m,25,9,40,450,8830.4
50mb,1,800m,25,9,40,500,8853.7
50mb,1,800m,25,9,60,350,17850.3
50mb,1,800m,25,9,60,400,17873.4
50mb,1,800m,25,9,60,450,17978.4
50mb,1,800m,25,9,60,500,17868.2
50mb,1,800m,25,9,80,350,27102.0
50mb,1,800m,25,9,80,400,27491.9
50mb,1,800m,25,9,80,450,27629.1
50mb,1,800m,25,9,80,500,27469.1
50mb,1,800m,25,9,100,350,36814.4
50mb,1,800m,25,9,100,400,37355.4
50mb,1,800m,25,9,100,450,36874.6
50mb,1,800m,25,9,100,500,36842.6
50mb,1,800m,25,9,120,350,47323.3
50mb,1,800m,25,9,120,400,46783.3
50mb,1,800m,25,9,120,450,47335.8
50mb,1,800m,25,9,120,500,46396.5
50mb,1,800m,25,9,140,350,56725.6
50mb,1,800m,25,9,140,400,56873.0
50mb,1,800m,25,9,140,450,57532.4
50mb,1,800m,25,9,140,500,57124.2
50mb,1,800m,25,9,160,350,67305.8
50mb,1,800m,25,9,160,400,67779.3
50mb,1,800m,25,9,160,450,66457.6
50mb,1,800m,25,9,160,500,67301.7
50mb,1,800m,25,9,180,350,76812.3
50mb,1,800m,25,9,180,400,77273.0
50mb,1,800m,25,9,180,450,76663.5
50mb,1,800m,25,9,180,500,76456.6
50mb,1,800m,25,9,200,350,86675.5
50mb,1,800m,25,9,200,400,87379.9
50mb,1,800m,25,9,200,450,87816.9
50mb,1,800m,25,9,200,500,86584.2
50mb,1,800m,25,10,0,350,14.6
50mb,1,800m,25,10,0,400,15.7
50mb,1,800m,25,10,0,450,15.4
50mb,1,800m,25,10,0,500,13.9
50mb,1,800m,25,10,20,350,1837.6
50mb,1,800m,25,10,20,400,1820.6
50mb,1,800m,25,10,20,450,1825.3
50mb,1,800m,25,10,20,500,1838.4
50mb,1,800m,25,10,40,350,8683.6
50mb,1,800m,25,10,40,400,8901.6
50mb,1,800m,25,10,40,450,9195.1
50mb,1,800m,25,10,40,500,8879.5
50mb,1,800m,25,10,60,350,18463.5
50mb,1,800m,25,10,60,400,18143.0
50mb,1,800m,25,10,60,450,17605.0
50mb,1,800m,25,10,60,500,18107.1
50mb,1,800m,25,10,80,350,27497.2
50mb,1,800m,25,10,80,400,27541.3
50mb,1,800m,25,10,80,450,27491.8
50mb,1,800m,25,10,80,500,28076.0
50mb,1,800m,25,10,100,350,37191.9
50mb,1,800m,25,10,100,400,37345.7
50mb,1,800m,25,10,100,450,37532.0
50mb,1,800m,25,10,100,500,37223.9
50mb,1,800m,25,10,120,350,46949.9
50mb,1,800m,25,10,120,400,47015.1
50mb,1,800m,25,10,120,450,47279.4
50mb,1,800m,25,10,120,500,47773.3
50mb,1,800m,25,10,140,350,56784.8
50mb,1,800m,25,10,140,400,57512.8
50mb,1,800m,25,10,140,450,56837.4
50mb,1,800m,25,10,140,500,57474.4
50mb,1,800m,25,10,160,350,66780.7
50mb,1,800m,25,10,160,400,67600.0
50mb,1,800m,25,10,160,450,67711.4
50mb,1,800m,25,10,160,500,66011.2
50mb,1,800m,25,10,180,350,76545.7
50mb,1,800m,25,10,180,400,76942.5
50mb,1,800m,25,10,180,450,76939.2
50mb,1,800m,25,10,180,500,76637.5
50mb,1,800m,25,10,200,350,87095.7
50mb,1,800m,25,10,200,400,86564.7
50mb,1,800m,25,10,200,450,86927.2
50mb,1,800m,25,10,200,500,87207.9
50mb,1,800m,25,11,0,350,14.7
50mb,1,800m,25,11,0,400,14.3
50mb,1,800m,25,11,0,450,14.6
50mb,1,800m,25,11,0,500,14.5
50mb,1,800m,25,11,20,350,1946.3
50mb,1,800m,25,11,20,400,1956.9
50mb,1,800m,25,11,20,450,1862.3
50mb,1,800m,25,11,20,500,1939.1
50mb,1,800m,25,11,40,350,9057.3
50mb,1,800m,25,11,40,400,8763.5
50mb,1,800m,25,11,40,450,9052.0
50mb,1,800m,25,11,40,500,8847.3
50mb,1,800m,25,11,60,350,17695.2
50mb,1,800m,25,11,60,400,17826.9
50mb,1,800m,25,11,60,450,18404.1
50mb,1,800m,25,11,60,500,18203.0
50mb,1,800m,25,11,80,350,27182.6
50mb,1,800m,25,11,80,400,27317.2
50mb,1,800m,25,11,80,450,27840.4
50mb,1,800m,25,11,80,500,27411.9
50mb,1,800m,25,11,100,350,37985.2
50mb,1,800m,25,11,100,400,37171.3
50mb,1,800m,25,11,100,450,37294.6
50mb,1,800m,25,11,100,500,37328.2
50mb,1,800m,25,11,120,350,48171.3
50mb,1,800m,25,11,120,400,47184.1
50mb,1,800m,25,11,120,450,47423.3
50mb,1,800m,25,11,120,500,47092.2
50mb,1,800m,25,11,140,350,56719.6
50mb,1,800m,25,11,140,400,57163.3
50mb,1,800m,25,11,140,450,57008.3
50mb,1,800m,25,11,140,500,57269.5
50mb,1,800m,25,11,160,350,67086.9
50mb,1,800m,25,11,160,400,68064.5
50mb,1,800m,25,11,160,450,67517.8
50mb,1,800m,25,11,160,500,67330.0
50mb,1,800m,25,11,180,350,77137.0
