deviceIORate,cpu,memory,conns,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,4,800m,75,12,180,400,293924.3
50mb,4,800m,75,12,180,450,300218.5
50mb,4,800m,75,12,180,500,299118.5
50mb,4,800m,75,12,200,350,335243.1
50mb,4,800m,75,12,200,400,343779.4
50mb,4,800m,75,12,200,450,347746.0
50mb,4,800m,75,12,200,500,323558.1
50mb,4,800m,75,13,0,350,14.6
50mb,4,800m,75,13,0,400,14.6
50mb,4,800m,75,13,0,450,14.8
50mb,4,800m,75,13,0,500,14.7
50mb,4,800m,75,13,20,350,10311.1
50mb,4,800m,75,13,20,400,10545.8
50mb,4,800m,75,13,20,450,10684.2
50mb,4,800m,75,13,20,500,10720.6
50mb,4,800m,75,13,40,350,52527.9
50mb,4,800m,75,13,40,400,52797.2
50mb,4,800m,75,13,40,450,52265.9
50mb,4,800m,75,13,40,500,53122.3
50mb,4,800m,75,13,60,350,85156.9
50mb,4,800m,75,13,60,400,83841.5
50mb,4,800m,75,13,60,450,82176.8
50mb,4,800m,75,13,60,500,84383.2
50mb,4,800m,75,13,80,350,112857.1
50mb,4,800m,75,13,80,400,115268.0
50mb,4,800m,75,13,80,450,115599.8
50mb,4,800m,75,13,80,500,114821.8
50mb,4,800m,75,13,100,350,146820.9
50mb,4,800m,75,13,100,400,145423.9
50mb,4,800m,75,13,100,450,147226.3
50mb,4,800m,75,13,100,500,147139.4
50mb,4,800m,75,13,120,350,176990.4
50mb,4,800m,75,13,120,400,177823.4
50mb,4,800m,75,13,120,450,175962.6
50mb,4,800m,75,13,120,500,173330.3
50mb,4,800m,75,13,140,350,217261.3
50mb,4,800m,75,13,140,400,208720.6
50mb,4,800m,75,13,140,450,213686.2
50mb,4,800m,75,13,140,500,210877.5
50mb,4,800m,75,13,160,350,263153.5
50mb,4,800m,75,13,160,400,259494.4
50mb,4,800m,75,13,160,450,254830.9
50mb,4,800m,75,13,160,500,245266.1
50mb,4,800m,75,13,180,350,290867.9
50mb,4,800m,75,13,180,400,292352.4
50mb,4,800m,75,13,180,450,294209.3
50mb,4,800m,75,13,180,500,288261.9
50mb,4,800m,75,13,200,350,336432.8
50mb,4,800m,75,13,200,400,325643.4
50mb,4,800m,75,13,200,450,333488.5
50mb,4,800m,75,13,200,500,346406.9
50mb,4,800m,75,14,0,350,14.8
50mb,4,800m,75,14,0,400,14.9
50mb,4,800m,75,14,0,450,14.8
50mb,4,800m,75,14,0,500,14.7
50mb,4,800m,75,14,20,350,10819.5
50mb,4,800m,75,14,20,400,10535.4
50mb,4,800m,75,14,20,450,10733.2
50mb,4,800m,75,14,20,500,10499.3
50mb,4,800m,75,14,40,350,53960.6
50mb,4,800m,75,14,40,400,54126.9
50mb,4,800m,75,14,40,450,53211.2
50mb,4,800m,75,14,40,500,52381.3
50mb,4,800m,75,14,60,350,85052.3
50mb,4,800m,75,14,60,400,83154.2
50mb,4,800m,75,14,60,450,82822.2
50mb,4,800m,75,14,60,500,83523.0
50mb,4,800m,75,14,80,350,114710.7
50mb,4,800m,75,14,80,400,114090.8
50mb,4,800m,75,14,80,450,114366.0
50mb,4,800m,75,14,80,500,115912.9
50mb,4,800m,75,14,100,350,146000.7
50mb,4,800m,75,14,100,400,143891.1
50mb,4,800m,75,14,100,450,146857.2
50mb,4,800m,75,14,100,500,149370.9
50mb,4,800m,75,14,120,350,174887.3
50mb,4,800m,75,14,120,400,176716.9
50mb,4,800m,75,14,120,450,177662.6
50mb,4,800m,75,14,120,500,179031.5
50mb,4,800m,75,14,140,350,217547.6
50mb,4,800m,75,14,140,400,216024.2
50mb,4,800m,75,14,140,450,207791.0
50mb,4,800m,75,14,140,500,217292.3
50mb,4,800m,75,14,160,350,259639.0
50mb,4,800m,75,14,160,400,251374.6
50mb,4,800m,75,14,160,450,260605.5
50mb,4,800m,75,14,160,500,245781.0
50mb,4,800m,75,14,180,350,294002.7
50mb,4,800m,75,14,180,400,297549.8
50mb,4,800m,75,14,180,450,291091.1
50mb,4,800m,75,14,180,500,295992.3
50mb,4,800m,75,14,200,350,343128.5
50mb,4,800m,75,14,200,400,333293.4
50mb,4,800m,75,14,200,450,328792.6
50mb,4,800m,75,14,200,500,329853.5
50mb,4,800m,75,15,0,350,14.8
50mb,4,800m,75,15,0,400,14.4
50mb,4,800m,75,15,0,450,15.3
50mb,4,800m,75,15,0,500,14.8
50mb,4,800m,75,15,20,350,10831.4
50mb,4,800m,75,15,20,400,10832.1
50mb,4,800m,75,15,20,450,10693.8
50mb,4,800m,75,15,20,500,10704.0
50mb,4,800m,75,15,40,350,54646.8
50mb,4,800m,75,15,40,400,53484.4
50mb,4,800m,75,15,40,450,53952.8
50mb,4,800m,75,15,40,500,53368.9
50mb,4,800m,75,15,60,350,85078.1
50mb,4,800m,75,15,60,400,84025.0
50mb,4,800m,75,15,60,450,81763.7
50mb,4,800m,75,15,60,500,84161.3
50mb,4,800m,75,15,80,350,116739.1
50mb,4,800m,75,15,80,400,115251.2
50mb,4,800m,75,15,80,450,115877.5
50mb,4,800m,75,15,80,500,115353.3
50mb,4,800m,75,15,100,350,147947.6
50mb,4,800m,75,15,100,400,145659.5
50mb,4,800m,75,15,100,450,147686.9
50mb,4,800m,75,15,100,500,149016.3
50mb,4,800m,75,15,120,350,178632.2
50mb,4,800m,75,15,120,400,176386.6
50mb,4,800m,75,15,120,450,176256.1
50mb,4,800m,75,15,120,500,176375.5
50mb,4,800m,75,15,140,350,216619.7
50mb,4,800m,75,15,140,400,215054.1
50mb,4,800m,75,15,140,450,207924.4
50mb,4,800m,75,15,140,500,212331.2
50mb,4,800m,75,15,160,350,257420.6
50mb,4,800m,75,15,160,400,264345.8
50mb,4,800m,75,15,160,450,261190.8
50mb,4,800m,75,15,160,500,260592.1
50mb,4,800m,75,15,180,350,297721.9
50mb,4,800m,75,15,180,400,299220.4
50mb,4,800m,75,15,180,450,293490.6
50mb,4,800m,75,15,180,500,294014.7
50mb,4,800m,75,15,200,350,334157.4
50mb,4,800m,75,15,200,400,329891.0
50mb,4,800m,75,15,200,450,328799.9
50mb,4,800m,75,15,200,500,332855.6
