deviceIORate,cpu,memory,conns,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,1,700m,100,3,200,350,357721.0
50mb,1,700m,100,3,200,400,340389.2
50mb,1,700m,100,3,200,450,323497.9
50mb,1,700m,100,3,200,500,358022.3
50mb,1,700m,100,4,0,350,14.6
50mb,1,700m,100,4,0,400,14.6
50mb,1,700m,100,4,0,450,14.3
50mb,1,700m,100,4,0,500,14.2
50mb,1,700m,100,4,20,350,32.8
50mb,1,700m,100,4,20,400,26.5
50mb,1,700m,100,4,20,450,27.9
50mb,1,700m,100,4,20,500,26.6
50mb,1,700m,100,4,40,350,2372.3
50mb,1,700m,100,4,40,400,5957.3
50mb,1,700m,100,4,40,450,10713.0
50mb,1,700m,100,4,40,500,8480.2
50mb,1,700m,100,4,60,350,82710.9
50mb,1,700m,100,4,60,400,50825.6
50mb,1,700m,100,4,60,450,52096.7
50mb,1,700m,100,4,60,500,36646.6
50mb,1,700m,100,4,80,350,117306.9
50mb,1,700m,100,4,80,400,119139.6
50mb,1,700m,100,4,80,450,77339.9
50mb,1,700m,100,4,80,500,124755.8
50mb,1,700m,100,4,100,350,176904.3
50mb,1,700m,100,4,100,400,176496.8
50mb,1,700m,100,4,100,450,120083.7
50mb,1,700m,100,4,100,500,185007.4
50mb,1,700m,100,4,120,350,196011.9
50mb,1,700m,100,4,120,400,243031.8
50mb,1,700m,100,4,120,450,212708.5
50mb,1,700m,100,4,120,500,285706.6
50mb,1,700m,100,4,140,350,257409.6
50mb,1,700m,100,4,140,400,309028.1
50mb,1,700m,100,4,140,450,253644.5
50mb,1,700m,100,4,140,500,257810.0
50mb,1,700m,100,4,160,350,347480.0
50mb,1,700m,100,4,160,400,412730.4
50mb,1,700m,100,4,160,450,346947.2
50mb,1,700m,100,4,160,500,336324.9
50mb,1,700m,100,4,180,350,406480.5
50mb,1,700m,100,4,180,400,443357.3
50mb,1,700m,100,4,180,450,401576.9
50mb,1,700m,100,4,180,500,513885.3
50mb,1,700m,100,4,200,350,482217.7
50mb,1,700m,100,4,200,400,490000.6
50mb,1,700m,100,4,200,450,447687.4
50mb,1,700m,100,4,200,500,470982.7
50mb,1,700m,100,5,0,350,13.9
50mb,1,700m,100,5,0,400,13.8
50mb,1,700m,100,5,0,450,13.5
50mb,1,700m,100,5,0,500,15.4
50mb,1,700m,100,5,20,350,35.8
50mb,1,700m,100,5,20,400,26.8
50mb,1,700m,100,5,20,450,32.6
50mb,1,700m,100,5,20,500,26.7
50mb,1,700m,100,5,40,350,14909.5
50mb,1,700m,100,5,40,400,17627.4
50mb,1,700m,100,5,40,450,30982.5
50mb,1,700m,100,5,40,500,12106.4
50mb,1,700m,100,5,60,350,97290.9
50mb,1,700m,100,5,60,400,55551.6
50mb,1,700m,100,5,60,450,84731.7
50mb,1,700m,100,5,60,500,111990.8
50mb,1,700m,100,5,80,350,240460.7
50mb,1,700m,100,5,80,400,117395.5
50mb,1,700m,100,5,80,450,165866.4
50mb,1,700m,100,5,80,500,120558.6
50mb,1,700m,100,5,100,350,363761.0
50mb,1,700m,100,5,100,400,341414.8
50mb,1,700m,100,5,100,450,256892.2
50mb,1,700m,100,5,100,500,265751.7
50mb,1,700m,100,5,120,350,452876.2
50mb,1,700m,100,5,120,400,428321.9
50mb,1,700m,100,5,120,450,425768.1
50mb,1,700m,100,5,120,500,428398.1
50mb,1,700m,100,5,140,350,388338.8
50mb,1,700m,100,5,140,400,271972.8
50mb,1,700m,100,5,140,450,557580.3
50mb,1,700m,100,5,140,500,437602.1
50mb,1,700m,100,5,160,350,583947.2
50mb,1,700m,100,5,160,400,799777.0
50mb,1,700m,100,5,160,450,484301.8
50mb,1,700m,100,5,160,500,541934.2
50mb,1,700m,100,5,180,350,606815.4
50mb,1,700m,100,5,180,400,553782.2
50mb,1,700m,100,5,180,450,598941.6
50mb,1,700m,100,5,180,500,514848.3
50mb,1,700m,100,5,200,350,764028.8
50mb,1,700m,100,5,200,400,963781.6
50mb,1,700m,100,5,200,450,708572.4
50mb,1,700m,100,5,200,500,626757.9
50mb,1,700m,100,6,0,350,14.3
50mb,1,700m,100,6,0,400,14.4
50mb,1,700m,100,6,0,450,14.4
50mb,1,700m,100,6,0,500,14.3
50mb,1,700m,100,6,20,350,36.1
50mb,1,700m,100,6,20,400,45.2
50mb,1,700m,100,6,20,450,98.5
50mb,1,700m,100,6,20,500,27.4
50mb,1,700m,100,6,40,350,22512.2
50mb,1,700m,100,6,40,400,30179.9
50mb,1,700m,100,6,40,450,37549.7
50mb,1,700m,100,6,40,500,39331.8
50mb,1,700m,100,6,60,350,189275.7
50mb,1,700m,100,6,60,400,132762.4
50mb,1,700m,100,6,60,450,99844.8
50mb,1,700m,100,6,60,500,146072.0
50mb,1,700m,100,6,80,350,206085.0
50mb,1,700m,100,6,80,400,322179.5
50mb,1,700m,100,6,80,450,323303.9
50mb,1,700m,100,6,80,500,254419.0
50mb,1,700m,100,6,100,350,420111.3
50mb,1,700m,100,6,100,400,395916.0
50mb,1,700m,100,6,100,450,460823.3
50mb,1,700m,100,6,100,500,384158.2
50mb,1,700m,100,6,120,350,485690.3
50mb,1,700m,100,6,120,400,457824.5
50mb,1,700m,100,6,120,450,548479.4
50mb,1,700m,100,6,120,500,541514.3
50mb,1,700m,100,6,140,350,570830.1
50mb,1,700m,100,6,140,400,553729.6
50mb,1,700m,100,6,140,450,593387.5
50mb,1,700m,100,6,140,500,667774.8
