deviceIORate,cpu,memory,conns,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,1,700m,100,8,180,400,1098137.2
50mb,1,700m,100,8,180,450,1104065.2
50mb,1,700m,100,8,180,500,1054216.1
50mb,1,700m,100,8,200,350,1124163.8
50mb,1,700m,100,8,200,400,1098742.2
50mb,1,700m,100,8,200,450,813353.3
50mb,1,700m,100,8,200,500,810666.2
50mb,1,700m,100,9,0,350,14.6
50mb,1,700m,100,9,0,400,14.7
50mb,1,700m,100,9,0,450,14.7
50mb,1,700m,100,9,0,500,14.4
50mb,1,700m,100,9,20,350,8454.6
50mb,1,700m,100,9,20,400,2312.3
50mb,1,700m,100,9,20,450,3635.8
50mb,1,700m,100,9,20,500,2846.5
50mb,1,700m,100,9,40,350,124495.0
50mb,1,700m,100,9,40,400,94336.2
50mb,1,700m,100,9,40,450,120497.5
50mb,1,700m,100,9,40,500,87138.4
50mb,1,700m,100,9,60,350,265643.6
50mb,1,700m,100,9,60,400,173683.8
50mb,1,700m,100,9,60,450,215839.9
50mb,1,700m,100,9,60,500,144729.2
50mb,1,700m,100,9,80,350,367012.9
50mb,1,700m,100,9,80,400,364825.5
50mb,1,700m,100,9,80,450,374280.9
50mb,1,700m,100,9,80,500,295637.8
50mb,1,700m,100,9,100,350,499692.6
50mb,1,700m,100,9,100,400,495476.2
50mb,1,700m,100,9,100,450,509444.4
50mb,1,700m,100,9,100,500,482625.3
50mb,1,700m,100,9,120,350,422025.6
50mb,1,700m,100,9,120,400,636123.4
50mb,1,700m,100,9,120,450,664001.0
50mb,1,700m,100,9,120,500,711245.3
50mb,1,700m,100,9,140,350,545643.0
50mb,1,700m,100,9,140,400,678105.0
50mb,1,700m,100,9,140,450,810625.1
50mb,1,700m,100,9,140,500,516948.1
50mb,1,700m,100,9,160,350,569289.1
50mb,1,700m,100,9,160,400,903976.9
50mb,1,700m,100,9,160,450,689296.5
50mb,1,700m,100,9,160,500,1053575.5
50mb,1,700m,100,9,180,350,1028533.0
50mb,1,700m,100,9,180,400,781536.6
50mb,1,700m,100,9,180,450,1056994.9
50mb,1,700m,100,9,180,500,1098051.5
50mb,1,700m,100,9,200,350,750261.7
50mb,1,700m,100,9,200,400,998062.5
50mb,1,700m,100,9,200,450,858109.7
50mb,1,700m,100,9,200,500,919294.2
50mb,1,700m,100,10,0,350,14.9
50mb,1,700m,100,10,0,400,14.3
50mb,1,700m,100,10,0,450,14.8
50mb,1,700m,100,10,0,500,13.8
50mb,1,700m,100,10,20,350,6682.1
50mb,1,700m,100,10,20,400,2832.2
50mb,1,700m,100,10,20,450,3564.1
50mb,1,700m,100,10,20,500,4394.0
50mb,1,700m,100,10,40,350,152358.6
50mb,1,700m,100,10,40,400,139472.2
50mb,1,700m,100,10,40,450,121093.1
50mb,1,700m,100,10,40,500,82529.6
50mb,1,700m,100,10,60,350,229186.0
50mb,1,700m,100,10,60,400,180741.2
50mb,1,700m,100,10,60,450,246432.9
50mb,1,700m,100,10,60,500,216191.3
50mb,1,700m,100,10,80,350,235507.8
50mb,1,700m,100,10,80,400,270430.4
50mb,1,700m,100,10,80,450,389870.9
50mb,1,700m,100,10,80,500,396943.5
50mb,1,700m,100,10,100,350,565682.6
50mb,1,700m,100,10,100,400,375605.3
50mb,1,700m,100,10,100,450,328219.3
50mb,1,700m,100,10,100,500,529096.7
50mb,1,700m,100,10,120,350,588784.1
50mb,1,700m,100,10,120,400,665746.0
50mb,1,700m,100,10,120,450,640610.2
50mb,1,700m,100,10,120,500,512390.8
50mb,1,700m,100,10,140,350,778232.4
50mb,1,700m,100,10,140,400,809739.2
50mb,1,700m,100,10,140,450,693520.8
50mb,1,700m,100,10,140,500,758784.6
50mb,1,700m,100,10,160,350,931734.4
50mb,1,700m,100,10,160,400,980928.9
50mb,1,700m,100,10,160,450,802838.1
50mb,1,700m,100,10,160,500,938478.0
50mb,1,700m,100,10,180,350,935499.8
50mb,1,700m,100,10,180,400,885344.5
50mb,1,700m,100,10,180,450,952414.5
50mb,1,700m,100,10,180,500,1178927.8
50mb,1,700m,100,10,200,350,864800.3
50mb,1,700m,100,10,200,400,925043.4
50mb,1,700m,100,10,200,450,1269758.3
50mb,1,700m,100,10,200,500,1091219.2
50mb,1,700m,100,11,0,350,14.4
50mb,1,700m,100,11,0,400,14.7
50mb,1,700m,100,11,0,450,14.4
50mb,1,700m,100,11,0,500,14.5
50mb,1,700m,100,11,20,350,4813.4
50mb,1,700m,100,11,20,400,4256.4
50mb,1,700m,100,11,20,450,3506.0
50mb,1,700m,100,11,20,500,4532.4
50mb,1,700m,100,11,40,350,80297.6
50mb,1,700m,100,11,40,400,105746.9
50mb,1,700m,100,11,40,450,127541.1
50mb,1,700m,100,11,40,500,59641.7
50mb,1,700m,100,11,60,350,134905.8
50mb,1,700m,100,11,60,400,219621.5
50mb,1,700m,100,11,60,450,165518.8
50mb,1,700m,100,11,60,500,209807.4
50mb,1,700m,100,11,80,350,232019.2
50mb,1,700m,100,11,80,400,404170.3
50mb,1,700m,100,11,80,450,389714.8
50mb,1,700m,100,11,80,500,391077.3
50mb,1,700m,100,11,100,350,361991.5
50mb,1,700m,100,11,100,400,385022.9
50mb,1,700m,100,11,100,450,356441.7
50mb,1,700m,100,11,100,500,521788.5
50mb,1,700m,100,11,120,350,615181.9
50mb,1,700m,100,11,120,400,498637.6
50mb,1,700m,100,11,120,450,761964.7
50mb,1,700m,100,11,120,500,467022.5
50mb,1,700m,100,11,140,350,582772.7
50mb,1,700m,100,11,140,400,627810.0
50mb,1,700m,100,11,140,450,829273.6
50mb,1,700m,100,11,140,500,796895.9
50mb,1,700m,100,11,160,350,997394.5
50mb,1,700m,100,11,160,400,976573.9
50mb,1,700m,100,11,160,450,923151.6
50mb,1,700m,100,11,160,500,849154.4
50mb,1,700m,100,11,180,350,1064401.9
50mb,1,700m,100,11,180,400,996303.5
50mb,1,700m,100,11,180,450,1163788.8
50mb,1,700m,100,11,180,500,836066.8
50mb,1,700m,100,11,200,350,1070740.4
50mb,1,700m,100,11,200,400,1254300.2
50mb,1,700m,100,11,200,450,1282324.3
50mb,1,700m,100,11,200,500,977527.1
50mb,1,700m,100,12,0,350,14.7
50mb,1,700m,100,12,0,400,15.1
50mb,1,700m,100,12,0,450,20.7
50mb,1,700m,100,12,0,500,19.2
50mb,1,700m,100,12,20,350,3672.1
50mb,1,700m,100,12,20,400,4634.0
50mb,1,700m,100,12,20,450,4973.9
50mb,1,700m,100,12,20,500,4750.4
50mb,1,700m,100,12,40,350,55260.9
50mb,1,700m,100,12,40,400,110466.6
50mb,1,700m,100,12,40,450,134088.9
50mb,1,700m,100,12,40,500,115109.6
50mb,1,700m,100,12,60,350,255487.0
50mb,1,700m,100,12,60,400,237592.8
50mb,1,700m,100,12,60,450,265225.3
50mb,1,700m,100,12,60,500,163219.1
50mb,1,700m,100,12,80,350,388554.3
50mb,1,700m,100,12,80,400,345257.7
50mb,1,700m,100,12,80,450,249026.9
50mb,1,700m,100,12,80,500,413998.1
50mb,1,700m,100,12,100,350,370298.0
50mb,1,700m,100,12,100,400,320774.1
50mb,1,700m,100,12,100,450,505803.3
50mb,1,700m,100,12,100,500,348946.8
50mb,1,700m,100,12,120,350,494045.3
50mb,1,700m,100,12,120,400,471796.2
50mb,1,700m,100,12,120,450,448306.9
50mb,1,700m,100,12,120,500,651560.3
50mb,1,700m,100,12,140,350,549163.2
50mb,1,700m,100,12,140,400,884713.3
50mb,1,700m,100,12,140,450,641007.0
50mb,1,700m,100,12,140,500,724580.6
50mb,1,700m,100,12,160,350,1023962.7
50mb,1,700m,100,12,160,400,634310.6
50mb,1,700m,100,12,160,450,842718.3
50mb,1,700m,100,12,160,500,619041.3
50mb,1,700m,100,12,180,350,984473.4
50mb,1,700m,100,12,180,400,695782.2
50mb,1,700m,100,12,180,450,708579.0
50mb,1,700m,100,12,180,500,893280.7
50mb,1,700m,100,12,200,350,799423.0
50mb,1,700m,100,12,200,400,1111762.8
50mb,1,700m,100,12,200,450,1231930.0
50mb,1,700m,100,12,200,500,1069071.6
50mb,1,700m,100,13,0,350,14.7
50mb,1,700m,100,13,0,400,14.6
50mb,1,700m,100,13,0,450,14.6
50mb,1,700m,100,13,0,500,14.7
50mb,1,700m,100,13,20,350,6570.9
50mb,1,700m,100,13,20,400,9405.2
50mb,1,700m,100,13,20,450,5694.6
50mb,1,700m,100,13,20,500,3486.8
50mb,1,700m,100,13,40,350,121757.4
50mb,1,700m,100,13,40,400,128233.8
50mb,1,700m,100,13,40,450,87175.9
50mb,1,700m,100,13,40,500,101846.3
50mb,1,700m,100,13,60,350,269792.0
50mb,1,700m,100,13,60,400,280877.6
50mb,1,700m,100,13,60,450,525762.6
50mb,1,700m,100,13,60,500,319889.2
50mb,1,700m,100,13,80,350,331047.5
50mb,1,700m,100,13,80,400,341741.8
50mb,1,700m,100,13,80,450,388238.2
50mb,1,700m,100,13,80,500,420620.2
50mb,1,700m,100,13,100,350,516776.8
50mb,1,700m,100,13,100,400,394579.7
50mb,1,700m,100,13,100,450,436878.5
50mb,1,700m,100,13,100,500,586476.5
50mb,1,700m,100,13,120,350,568555.7
50mb,1,700m,100,13,120,400,493200.7
50mb,1,700m,100,13,120,450,472591.3
50mb,1,700m,100,13,120,500,678798.1
50mb,1,700m,100,13,140,350,825703.6
50mb,1,700m,100,13,140,400,822552.1
50mb,1,700m,100,13,140,450,957532.3
50mb,1,700m,100,13,140,500,593381.2
50mb,1,700m,100,13,160,350,722854.4
50mb,1,700m,100,13,160,400,954978.8
50mb,1,700m,100,13,160,450,729552.5
50mb,1,700m,100,13,160,500,477791.5
50mb,1,700m,100,13,180,350,946578.5
50mb,1,700m,100,13,180,400,951345.2
50mb,1,700m,100,13,180,450,971618.7
50mb,1,700m,100,13,180,500,937470.6
50mb,1,700m,100,13,200,350,1040666.2
50mb,1,700m,100,13,200,400,630291.6
