deviceIORate,cpu,memory,conns,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,4,700m,25,3,180,500,22692.7
50mb,4,700m,25,3,200,350,28604.4
50mb,4,700m,25,3,200,400,26737.2
50mb,4,700m,25,3,200,450,26003.4
50mb,4,700m,25,3,200,500,28552.1
50mb,4,700m,25,4,0,350,15.5
50mb,4,700m,25,4,0,400,15.7
50mb,4,700m,25,4,0,450,15.5
50mb,4,700m,25,4,0,500,15.5
50mb,4,700m,25,4,20,350,25.8
50mb,4,700m,25,4,20,400,24.9
50mb,4,700m,25,4,20,450,24.4
50mb,4,700m,25,4,20,500,25.1
50mb,4,700m,25,4,40,350,390.4
50mb,4,700m,25,4,40,400,392.4
50mb,4,700m,25,4,40,450,405.6
50mb,4,700m,25,4,40,500,414.2
50mb,4,700m,25,4,60,350,1724.5
50mb,4,700m,25,4,60,400,1619.1
50mb,4,700m,25,4,60,450,1814.9
50mb,4,700m,25,4,60,500,1719.2
50mb,4,700m,25,4,80,350,4212.9
50mb,4,700m,25,4,80,400,5406.3
50mb,4,700m,25,4,80,450,4464.5
50mb,4,700m,25,4,80,500,5305.4
50mb,4,700m,25,4,100,350,10254.8
50mb,4,700m,25,4,100,400,11078.4
50mb,4,700m,25,4,100,450,9526.9
50mb,4,700m,25,4,100,500,10232.9
50mb,4,700m,25,4,120,350,13095.4
50mb,4,700m,25,4,120,400,16693.8
50mb,4,700m,25,4,120,450,13608.0
50mb,4,700m,25,4,120,500,14920.2
50mb,4,700m,25,4,140,350,20902.1
50mb,4,700m,25,4,140,400,16596.2
50mb,4,700m,25,4,140,450,22807.0
50mb,4,700m,25,4,140,500,18187.9
50mb,4,700m,25,4,160,350,21856.7
50mb,4,700m,25,4,160,400,21847.4
50mb,4,700m,25,4,160,450,23795.7
50mb,4,700m,25,4,160,500,21096.2
50mb,4,700m,25,4,180,350,25954.8
50mb,4,700m,25,4,180,400,28388.4
50mb,4,700m,25,4,180,450,23074.1
50mb,4,700m,25,4,180,500,23468.6
50mb,4,700m,25,4,200,350,28904.6
50mb,4,700m,25,4,200,400,27954.7
50mb,4,700m,25,4,200,450,26843.0
50mb,4,700m,25,4,200,500,28423.1
50mb,4,700m,25,5,0,350,15.9
50mb,4,700m,25,5,0,400,16.1
50mb,4,700m,25,5,0,450,14.9
50mb,4,700m,25,5,0,500,15.1
50mb,4,700m,25,5,20,350,24.5
50mb,4,700m,25,5,20,400,25.8
50mb,4,700m,25,5,20,450,24.0
50mb,4,700m,25,5,20,500,24.8
50mb,4,700m,25,5,40,350,388.7
50mb,4,700m,25,5,40,400,459.2
50mb,4,700m,25,5,40,450,391.2
50mb,4,700m,25,5,40,500,402.7
50mb,4,700m,25,5,60,350,2114.9
50mb,4,700m,25,5,60,400,1864.6
50mb,4,700m,25,5,60,450,2430.7
50mb,4,700m,25,5,60,500,1678.6
50mb,4,700m,25,5,80,350,4131.9
50mb,4,700m,25,5,80,400,5623.0
50mb,4,700m,25,5,80,450,4301.3
50mb,4,700m,25,5,80,500,4883.2
50mb,4,700m,25,5,100,350,8016.2
50mb,4,700m,25,5,100,400,6994.6
50mb,4,700m,25,5,100,450,8624.8
50mb,4,700m,25,5,100,500,8274.3
50mb,4,700m,25,5,120,350,12378.6
50mb,4,700m,25,5,120,400,14190.1
50mb,4,700m,25,5,120,450,12814.3
50mb,4,700m,25,5,120,500,13394.6
50mb,4,700m,25,5,140,350,19132.8
50mb,4,700m,25,5,140,400,21284.9
50mb,4,700m,25,5,140,450,19421.8
50mb,4,700m,25,5,140,500,18939.4
50mb,4,700m,25,5,160,350,22685.0
50mb,4,700m,25,5,160,400,22145.2
50mb,4,700m,25,5,160,450,21680.0
50mb,4,700m,25,5,160,500,23061.0
50mb,4,700m,25,5,180,350,26824.0
50mb,4,700m,25,5,180,400,27900.6
50mb,4,700m,25,5,180,450,29200.3
50mb,4,700m,25,5,180,500,26481.0
50mb,4,700m,25,5,200,350,32018.6
50mb,4,700m,25,5,200,400,33002.9
50mb,4,700m,25,5,200,450,32117.8
50mb,4,700m,25,5,200,500,31268.7
50mb,4,700m,25,6,0,350,15.4
50mb,4,700m,25,6,0,400,16.7
50mb,4,700m,25,6,0,450,15.5
50mb,4,700m,25,6,0,500,16.7
50mb,4,700m,25,6,20,350,24.2
50mb,4,700m,25,6,20,400,24.3
50mb,4,700m,25,6,20,450,23.6
50mb,4,700m,25,6,20,500,23.9
50mb,4,700m,25,6,40,350,514.4
50mb,4,700m,25,6,40,400,875.6
50mb,4,700m,25,6,40,450,506.4
50mb,4,700m,25,6,40,500,699.9
50mb,4,700m,25,6,60,350,2423.6
50mb,4,700m,25,6,60,400,3211.3
50mb,4,700m,25,6,60,450,2945.9
50mb,4,700m,25,6,60,500,2382.4
50mb,4,700m,25,6,80,350,6760.7
50mb,4,700m,25,6,80,400,5593.3
50mb,4,700m,25,6,80,450,5726.5
50mb,4,700m,25,6,80,500,5503.8
50mb,4,700m,25,6,100,350,10201.6
50mb,4,700m,25,6,100,400,8906.7
50mb,4,700m,25,6,100,450,8482.2
50mb,4,700m,25,6,100,500,11041.7
50mb,4,700m,25,6,120,350,14283.8
50mb,4,700m,25,6,120,400,14578.8
50mb,4,700m,25,6,120,450,11771.6
50mb,4,700m,25,6,120,500,12296.9
50mb,4,700m,25,6,140,350,16446.8
50mb,4,700m,25,6,140,400,18217.3
50mb,4,700m,25,6,140,450,18771.0
50mb,4,700m,25,6,140,500,20862.0
50mb,4,700m,25,6,160,350,20584.1
50mb,4,700m,25,6,160,400,22930.4
50mb,4,700m,25,6,160,450,21614.6
50mb,4,700m,25,6,160,500,22231.9
50mb,4,700m,25,6,180,350,25732.4
50mb,4,700m,25,6,180,400,26449.7
50mb,4,700m,25,6,180,450,26016.8
50mb,4,700m,25,6,180,500,27016.9
50mb,4,700m,25,6,200,350,29955.1
50mb,4,700m,25,6,200,400,30961.5
50mb,4,700m,25,6,200,450,30963.4
50mb,4,700m,25,6,200,500,29995.4
50mb,4,700m,25,7,0,350,16.6
50mb,4,700m,25,7,0,400,15.3
50mb,4,700m,25,7,0,450,18.2
50mb,4,700m,25,7,0,500,15.6
50mb,4,700m,25,7,20,350,25.2
50mb,4,700m,25,7,20,400,23.9
50mb,4,700m,25,7,20,450,23.5
50mb,4,700m,25,7,20,500,24.0
50mb,4,700m,25,7,40,350,417.7
50mb,4,700m,25,7,40,400,434.8
50mb,4,700m,25,7,40,450,548.5
50mb,4,700m,25,7,40,500,435.3
50mb,4,700m,25,7,60,350,2496.5
50mb,4,700m,25,7,60,400,2361.4
50mb,4,700m,25,7,60,450,2431.6
50mb,4,700m,25,7,60,500,3936.2
50mb,4,700m,25,7,80,350,6376.2
50mb,4,700m,25,7,80,400,4720.4
50mb,4,700m,25,7,80,450,4196.2
50mb,4,700m,25,7,80,500,6580.7
50mb,4,700m,25,7,100,350,10281.6
50mb,4,700m,25,7,100,400,12343.5
50mb,4,700m,25,7,100,450,11507.3
50mb,4,700m,25,7,100,500,13267.1
50mb,4,700m,25,7,120,350,16232.4
50mb,4,700m,25,7,120,400,16713.5
50mb,4,700m,25,7,120,450,14527.8
50mb,4,700m,25,7,120,500,18125.1
50mb,4,700m,25,7,140,350,21234.0
50mb,4,700m,25,7,140,400,21096.3
50mb,4,700m,25,7,140,450,20253.5
50mb,4,700m,25,7,140,500,19799.4
50mb,4,700m,25,7,160,350,23497.9
50mb,4,700m,25,7,160,400,25285.4
50mb,4,700m,25,7,160,450,26325.4
50mb,4,700m,25,7,160,500,26825.2
50mb,4,700m,25,7,180,350,25504.3
50mb,4,700m,25,7,180,400,26836.3
50mb,4,700m,25,7,180,450,26547.2
50mb,4,700m,25,7,180,500,25117.2
50mb,4,700m,25,7,200,350,29251.1
50mb,4,700m,25,7,200,400,29132.0
50mb,4,700m,25,7,200,450,29477.6
50mb,4,700m,25,7,200,500,29408.4
50mb,4,700m,25,8,0,350,14.9
50mb,4,700m,25,8,0,400,15.8
50mb,4,700m,25,8,0,450,14.7
50mb,4,700m,25,8,0,500,14.9
50mb,4,700m,25,8,20,350,24.0
50mb,4,700m,25,8,20,400,23.7
50mb,4,700m,25,8,20,450,23.9
50mb,4,700m,25,8,20,500,23.7
50mb,4,700m,25,8,40,350,437.2
50mb,4,700m,25,8,40,400,447.6
50mb,4,700m,25,8,40,450,569.3
50mb,4,700m,25,8,40,500,424.5
50mb,4,700m,25,8,60,350,2302.8
50mb,4,700m,25,8,60,400,2223.2
50mb,4,700m,25,8,60,450,2283.3
50mb,4,700m,25,8,60,500,2182.6
50mb,4,700m,25,8,80,350,5672.4
50mb,4,700m,25,8,80,400,6196.9
50mb,4,700m,25,8,80,450,5718.0
50mb,4,700m,25,8,80,500,6041.3
50mb,4,700m,25,8,100,350,11707.1
50mb,4,700m,25,8,100,400,12540.3
50mb,4,700m,25,8,100,450,10039.7
50mb,4,700m,25,8,100,500,10197.2
50mb,4,700m,25,8,120,350,11712.5
50mb,4,700m,25,8,120,400,15547.4
50mb,4,700m,25,8,120,450,15739.3
50mb,4,700m,25,8,120,500,14314.9
50mb,4,700m,25,8,140,350,21407.9
50mb,4,700m,25,8,140,400,20308.6
50mb,4,700m,25,8,140,450,16176.2
50mb,4,700m,25,8,140,500,22442.0
50mb,4,700m,25,8,160,350,27647.4
50mb,4,700m,25,8,160,400,25028.3
50mb,4,700m,25,8,160,450,22205.2
50mb,4,700m,25,8,160,500,23503.9
50mb,4,700m,25,8,180,350,27214.2
50mb,4,700m,25,8,180,400,29203.5
50mb,4,700m,25,8,180,450,30318.4
50mb,4,700m,25,8,180,500,28111.6
50mb,4,700m,25,8,200,350,31861.4
50mb,4,700m,25,8,200,400,34807.4
