deviceIORate,cpu,memory,conns,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,1,800m,100,3,180,500,290013.7
50mb,1,800m,100,3,200,350,397228.7
50mb,1,800m,100,3,200,400,747166.9
50mb,1,800m,100,3,200,450,395318.1
50mb,1,800m,100,3,200,500,1047274.5
50mb,1,800m,100,4,0,350,15.4
50mb,1,800m,100,4,0,400,14.9
50mb,1,800m,100,4,0,450,16.7
50mb,1,800m,100,4,0,500,14.6
50mb,1,800m,100,4,20,350,27.0
50mb,1,800m,100,4,20,400,23.7
50mb,1,800m,100,4,20,450,25.9
50mb,1,800m,100,4,20,500,25.6
50mb,1,800m,100,4,40,350,3350.7
50mb,1,800m,100,4,40,400,3711.0
50mb,1,800m,100,4,40,450,3665.7
50mb,1,800m,100,4,40,500,3453.1
50mb,1,800m,100,4,60,350,31159.3
50mb,1,800m,100,4,60,400,25810.4
50mb,1,800m,100,4,60,450,25863.8
50mb,1,800m,100,4,60,500,21342.3
50mb,1,800m,100,4,80,350,59958.0
50mb,1,800m,100,4,80,400,47691.0
50mb,1,800m,100,4,80,450,55067.9
50mb,1,800m,100,4,80,500,68905.1
50mb,1,800m,100,4,100,350,190910.1
50mb,1,800m,100,4,100,400,217468.3
50mb,1,800m,100,4,100,450,163050.2
50mb,1,800m,100,4,100,500,163966.1
50mb,1,800m,100,4,120,350,173313.4
50mb,1,800m,100,4,120,400,191251.9
50mb,1,800m,100,4,120,450,258912.7
50mb,1,800m,100,4,120,500,209749.4
50mb,1,800m,100,4,140,350,291189.9
50mb,1,800m,100,4,140,400,257916.9
50mb,1,800m,100,4,140,450,341842.7
50mb,1,800m,100,4,140,500,216688.3
50mb,1,800m,100,4,160,350,741796.2
50mb,1,800m,100,4,160,400,458316.5
50mb,1,800m,100,4,160,450,921580.8
50mb,1,800m,100,4,160,500,318402.4
50mb,1,800m,100,4,180,350,611772.3
50mb,1,800m,100,4,180,400,1024548.5
50mb,1,800m,100,4,180,450,810607.4
50mb,1,800m,100,4,180,500,781250.6
50mb,1,800m,100,4,200,350,922878.6
50mb,1,800m,100,4,200,400,1078283.3
50mb,1,800m,100,4,200,450,695407.2
50mb,1,800m,100,4,200,500,1085313.1
50mb,1,800m,100,5,0,350,15.0
50mb,1,800m,100,5,0,400,15.0
50mb,1,800m,100,5,0,450,15.2
50mb,1,800m,100,5,0,500,14.6
50mb,1,800m,100,5,20,350,24.0
50mb,1,800m,100,5,20,400,30.2
