deviceIORate,cpu,memory,conns,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,1,700m,50,3,200,350,63809.3
50mb,1,700m,50,3,200,400,66035.1
50mb,1,700m,50,3,200,450,62906.6
50mb,1,700m,50,3,200,500,63170.5
50mb,1,700m,50,4,0,350,14.5
50mb,1,700m,50,4,0,400,13.8
50mb,1,700m,50,4,0,450,15.0
50mb,1,700m,50,4,0,500,14.4
50mb,1,700m,50,4,20,350,30.2
50mb,1,700m,50,4,20,400,95.6
50mb,1,700m,50,4,20,450,59.4
50mb,1,700m,50,4,20,500,29.8
50mb,1,700m,50,4,40,350,1324.0
50mb,1,700m,50,4,40,400,823.0
50mb,1,700m,50,4,40,450,2788.2
50mb,1,700m,50,4,40,500,464.3
50mb,1,700m,50,4,60,350,7423.3
50mb,1,700m,50,4,60,400,6783.4
50mb,1,700m,50,4,60,450,8702.5
50mb,1,700m,50,4,60,500,8721.3
50mb,1,700m,50,4,80,350,13602.9
50mb,1,700m,50,4,80,400,14974.6
50mb,1,700m,50,4,80,450,16414.2
50mb,1,700m,50,4,80,500,13892.6
50mb,1,700m,50,4,100,350,26491.3
50mb,1,700m,50,4,100,400,34192.4
50mb,1,700m,50,4,100,450,24377.2
50mb,1,700m,50,4,100,500,29665.1
50mb,1,700m,50,4,120,350,33854.5
50mb,1,700m,50,4,120,400,33912.4
50mb,1,700m,50,4,120,450,33301.2
50mb,1,700m,50,4,120,500,34704.9
50mb,1,700m,50,4,140,350,44698.2
50mb,1,700m,50,4,140,400,40505.0
50mb,1,700m,50,4,140,450,40163.4
50mb,1,700m,50,4,140,500,43332.9
50mb,1,700m,50,4,160,350,49469.4
50mb,1,700m,50,4,160,400,51426.5
50mb,1,700m,50,4,160,450,60479.6
50mb,1,700m,50,4,160,500,47674.5
50mb,1,700m,50,4,180,350,63967.6
50mb,1,700m,50,4,180,400,59961.6
50mb,1,700m,50,4,180,450,60161.6
50mb,1,700m,50,4,180,500,62599.0
50mb,1,700m,50,4,200,350,68996.8
50mb,1,700m,50,4,200,400,73975.1
50mb,1,700m,50,4,200,450,74514.9
50mb,1,700m,50,4,200,500,74890.1
50mb,1,700m,50,5,0,350,14.1
50mb,1,700m,50,5,0,400,14.5
50mb,1,700m,50,5,0,450,14.6
50mb,1,700m,50,5,0,500,14.1
50mb,1,700m,50,5,20,350,25.5
50mb,1,700m,50,5,20,400,36.6
50mb,1,700m,50,5,20,450,29.2
50mb,1,700m,50,5,20,500,28.7
50mb,1,700m,50,5,40,350,2830.0
50mb,1,700m,50,5,40,400,3286.7
50mb,1,700m,50,5,40,450,4019.0
50mb,1,700m,50,5,40,500,3617.8
50mb,1,700m,50,5,60,350,12295.2
50mb,1,700m,50,5,60,400,7568.0
50mb,1,700m,50,5,60,450,9257.0
50mb,1,700m,50,5,60,500,8680.9
50mb,1,700m,50,5,80,350,18349.9
50mb,1,700m,50,5,80,400,18041.0
50mb,1,700m,50,5,80,450,16580.9
50mb,1,700m,50,5,80,500,18357.7
50mb,1,700m,50,5,100,350,25650.0
50mb,1,700m,50,5,100,400,27684.5
50mb,1,700m,50,5,100,450,24352.1
50mb,1,700m,50,5,100,500,27241.1
50mb,1,700m,50,5,120,350,35269.3
50mb,1,700m,50,5,120,400,40296.7
50mb,1,700m,50,5,120,450,43140.2
50mb,1,700m,50,5,120,500,39272.9
50mb,1,700m,50,5,140,350,43286.2
50mb,1,700m,50,5,140,400,44068.5
50mb,1,700m,50,5,140,450,42118.5
50mb,1,700m,50,5,140,500,44371.3
50mb,1,700m,50,5,160,350,50212.8
50mb,1,700m,50,5,160,400,48830.9
50mb,1,700m,50,5,160,450,54387.9
50mb,1,700m,50,5,160,500,49674.3
50mb,1,700m,50,5,180,350,61226.4
50mb,1,700m,50,5,180,400,58046.0
50mb,1,700m,50,5,180,450,60725.1
50mb,1,700m,50,5,180,500,56705.9
50mb,1,700m,50,5,200,350,70703.2
50mb,1,700m,50,5,200,400,67069.6
50mb,1,700m,50,5,200,450,68995.4
50mb,1,700m,50,5,200,500,67162.4
50mb,1,700m,50,6,0,350,14.2
50mb,1,700m,50,6,0,400,14.3
50mb,1,700m,50,6,0,450,14.3
50mb,1,700m,50,6,0,500,13.7
50mb,1,700m,50,6,20,350,28.3
50mb,1,700m,50,6,20,400,91.6
50mb,1,700m,50,6,20,450,81.3
50mb,1,700m,50,6,20,500,30.1
50mb,1,700m,50,6,40,350,2746.2
50mb,1,700m,50,6,40,400,5457.7
50mb,1,700m,50,6,40,450,3149.4
50mb,1,700m,50,6,40,500,4252.5
50mb,1,700m,50,6,60,350,9322.1
50mb,1,700m,50,6,60,400,8681.4
50mb,1,700m,50,6,60,450,9209.1
50mb,1,700m,50,6,60,500,9737.0
50mb,1,700m,50,6,80,350,22927.0
50mb,1,700m,50,6,80,400,19223.0
50mb,1,700m,50,6,80,450,20582.8
50mb,1,700m,50,6,80,500,21257.3
50mb,1,700m,50,6,100,350,27101.4
50mb,1,700m,50,6,100,400,32226.7
50mb,1,700m,50,6,100,450,28582.6
50mb,1,700m,50,6,100,500,28649.3
50mb,1,700m,50,6,120,350,37824.5
50mb,1,700m,50,6,120,400,38933.5
50mb,1,700m,50,6,120,450,35497.1
50mb,1,700m,50,6,120,500,40960.5
50mb,1,700m,50,6,140,350,47203.4
50mb,1,700m,50,6,140,400,48476.0
50mb,1,700m,50,6,140,450,50074.3
50mb,1,700m,50,6,140,500,46854.1
50mb,1,700m,50,6,160,350,54706.5
50mb,1,700m,50,6,160,400,53244.3
50mb,1,700m,50,6,160,450,58965.0
50mb,1,700m,50,6,160,500,58704.6
50mb,1,700m,50,6,180,350,64738.6
50mb,1,700m,50,6,180,400,63542.8
50mb,1,700m,50,6,180,450,61542.8
50mb,1,700m,50,6,180,500,64591.6
50mb,1,700m,50,6,200,350,71881.4
50mb,1,700m,50,6,200,400,73209.6
50mb,1,700m,50,6,200,450,79976.8
50mb,1,700m,50,6,200,500,71133.0
50mb,1,700m,50,7,0,350,14.2
50mb,1,700m,50,7,0,400,14.7
50mb,1,700m,50,7,0,450,13.8
50mb,1,700m,50,7,0,500,14.3
50mb,1,700m,50,7,20,350,124.1
50mb,1,700m,50,7,20,400,236.0
50mb,1,700m,50,7,20,450,212.3
50mb,1,700m,50,7,20,500,270.1
50mb,1,700m,50,7,40,350,3402.2
50mb,1,700m,50,7,40,400,3705.0
50mb,1,700m,50,7,40,450,4247.2
50mb,1,700m,50,7,40,500,3773.9
50mb,1,700m,50,7,60,350,10466.3
50mb,1,700m,50,7,60,400,12214.9
50mb,1,700m,50,7,60,450,12315.1
50mb,1,700m,50,7,60,500,12034.5
50mb,1,700m,50,7,80,350,20803.0
50mb,1,700m,50,7,80,400,21703.4
50mb,1,700m,50,7,80,450,20077.0
50mb,1,700m,50,7,80,500,18432.9
50mb,1,700m,50,7,100,350,29031.1
50mb,1,700m,50,7,100,400,29371.4
50mb,1,700m,50,7,100,450,30183.8
50mb,1,700m,50,7,100,500,28833.9
50mb,1,700m,50,7,120,350,37898.6
50mb,1,700m,50,7,120,400,40047.8
50mb,1,700m,50,7,120,450,38641.8
50mb,1,700m,50,7,120,500,42314.7
50mb,1,700m,50,7,140,350,50029.5
50mb,1,700m,50,7,140,400,49264.1
50mb,1,700m,50,7,140,450,43980.9
50mb,1,700m,50,7,140,500,48391.5
50mb,1,700m,50,7,160,350,54740.1
50mb,1,700m,50,7,160,400,56079.4
50mb,1,700m,50,7,160,450,55679.4
50mb,1,700m,50,7,160,500,56599.8
50mb,1,700m,50,7,180,350,60622.6
50mb,1,700m,50,7,180,400,64832.7
50mb,1,700m,50,7,180,450,63520.9
50mb,1,700m,50,7,180,500,66312.6
50mb,1,700m,50,7,200,350,80639.4
50mb,1,700m,50,7,200,400,77904.2
50mb,1,700m,50,7,200,450,72062.4
50mb,1,700m,50,7,200,500,80453.4
50mb,1,700m,50,8,0,350,14.0
50mb,1,700m,50,8,0,400,14.5
50mb,1,700m,50,8,0,450,14.1
